Respondent ID,Start Date,Race,Gender,Age,EducationLevel,EmploymentType,ExperienceLevel,JobTitle,SeniorityLevel,Promotions,Industry,BusinessType,CompanySize,JobPerformance,IsCompensation,IsGrowth,IsDecisions,IsCompanyBenefits,IsGrowthOpportunities
11439191449,3/23/2020 14:14,Asian,Male,25-34,Bachelor's Degree,Full Time Employee,Declined to Answer,Declined to Answer,,,,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11439383910,3/23/2020 15:09,Indian,Female,35-44,Bachelor's Degree,Full Time Employee,Five to ten years,Data Analytics Specialist,Senior level,In the last 1 to 5 years,Insurance,For Profit,50 to 250 Employees,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree
11439535466,3/23/2020 16:17,Black or African American,Female,45-54,Vocational/Technical School,Unemployed,Declined to Answer,Declined to Answer,,,,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11439544453,3/23/2020 16:20,Black or African American,female,35-44,Bachelor's Degree,Full Time Employee,Less than one year,data analyst,Mid level,Never been promoted,Finance & Financial Services,For Profit,"1,000 to 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree
11439653368,3/23/2020 17:00,Hispanic or Latino,Females,45-54,Bachelor's Degree,Full Time Employee,Ten years or more,Teacher,Tenure,Never been promoted,Education,Government,"250 to 1,000 Employees",Agree,Agree,Agree,Disagree,Agree,Agree
11439666265,3/23/2020 17:04,Hispanic or Latino,Male,35-44,Some College,Full Time Employee,Ten years or more,Senior Project Lead,Mid level,In the last 1 to 5 years,Entertainment & Leisure,For Profit,"More than 10,000 Employees",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree
11439706736,3/23/2020 17:17,Declined to Answer,Female,55-64,High School Diploma/GED,Temporary/Seasonal,Ten years or more,Concessions & baker,,In the last 1 to 5 years,Entertainment & Leisure,For Profit,"More than 10,000 Employees",Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree
11439784338,3/23/2020 17:46,Black or African American,Female,45-54,Associate's Degree,Full Time Employee,Less than one year,Credentials & Contract Supervisor,Senior level,Multiple Promotions,Education,Government,"More than 10,000 Employees",Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
11439856001,3/23/2020 18:13,White,F,25-34,Bachelor's Degree,Full Time Employee,Less than one year,Analytics Consultant,Senior level,Never been promoted,Information Technology and Services,For Profit,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
11439860786,3/23/2020 18:15,Hispanic or Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,One to five years,Assistant principal,Senior level,In the last 1 to 5 years,Education,Government,"More than 10,000 Employees",Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree
11439863583,3/23/2020 18:16,Hispanic or Latino,Femalr,45-54,Bachelor's Degree,Full Time Employee,Five to ten years,Case manager,Senior level,Prefer not to answer,Healthcare & Pharmaceuticals,Non Profit,"1,000 to 10,000 Employees",Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11439879433,3/23/2020 18:22,Hispanic or Latino,Female,18-24,High School Diploma/GED,Unemployed,Declined to Answer,Declined to Answer,,,,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11439951440,3/23/2020 18:49,Hispanic or Latino,Female,45-54,Associate's Degree,Full Time Employee,Ten years or more,Eligibility Worker,Unknown,More than 5 years,Social/Public Services,Government,"1,000 to 10,000 Employees",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree
11439984425,3/23/2020 19:01,Hispanic or Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,Ten years or more,High school counselor,Senior level,Within 12 Months,Education,Non Profit,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11440023859,3/23/2020 19:15,Hispanic or Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,Five to ten years,Administrative Officer,Mid level,More than 5 years,Government,Government,Less than 50 Employees,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
11440043550,3/23/2020 19:22,Hispanic or Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,Ten years or more,Elementary Teacher,Senior level,More than 5 years,Education,Government,"More than 10,000 Employees",Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
11440096517,3/23/2020 19:40,Hispanic or Latino,M,35-44,Associate's Degree,Full Time Employee,One to five years,Electrician Apprentice,Mid level,Within 12 Months,Information Technology and Services,For Profit,50 to 250 Employees,Agree,Agree,Agree,Agree,Agree,Agree
11440122088,3/23/2020 19:51,White,Female,25-34,Bachelor's Degree,Full Time Employee,Declined to Answer,38120,Mid level,Never been promoted,Consumer Packaging,For Profit,"More than 10,000 Employees",Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Agree
11440136742,3/23/2020 19:56,Hispanic or Latino,Female,65+,Bachelor's Degree,Unemployed,Declined to Answer,Declined to Answer,,,,Unknown,Unknown,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer,Declined to Answer
11440156234,3/23/2020 20:03,White,Male,65+,Master's Degree or Higher,Self Employed/Entrepreneur,One to five years,Data Analyst,Mid level,Never been promoted,Business Support & Logistics,For Profit,50 to 250 Employees,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
11440252360,3/23/2020 20:37,Black or African American,Female,45-54,Some College,Full Time Employee,Five to ten years,Paraprofessional,Assistant to teachers,Never been promoted,Education,,Unknown,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree
